title,year,authors,venue,link
"Computer vision and deep learning meet plankton: Milestones and future directions",2024,"Ciranni M.; Murino V.; Odone F.; Pastore V. P.","IMAGE AND VISION COMPUTING","https://doi.org/10.1016/j.imavis.2023.104676"
"Head pose estimation with uncertainty and an application to dyadic interaction detection",2023,"Figari Tomenotti Federico; Noceti Nicoletta; Odone Francesca","COMPUTER VISION AND IMAGE UNDERSTANDING","https://doi.org/10.1016/j.cviu.2023.103749"
